numeric_characteristics
-1-97
96-109
-1-97
-1-97
32-97
50-97
96-97
61-72
73-96
1-97
-1-97
73-100
56-96
33-72
50-100
72-89
-1-100
50-72
-1-96
96-97
61-72
15-97
71-72
-1-96
32-100
8-15
-1-100
32-100
1-97
-1-96
50-96
33-72
33-72
-1-96
61-97
26-61
97-107
8-100
0-97
33-72
33-72
-1-97
-1-101
-1-97
8-61
-1-97
73-97
-1-110
1-97
32-97
-1-97
50-96
61-100
73-96
73-100
50-97
88-110
-1-97
26-100
73-97
89-97
-1-97
8-97
-1--1
8-16
32-97
15-72
-1-97
8-61
-1-97
-1-97
-1-97
-1-97
-1-96
-1-110
14-97
-1-97
73-100
15-72
-1-45
-1-100
33-72
-1-96
-1-100
88-97
-1-96
64-97
-1-15
1-5
32-100
0-72
-1-97
14-97
26-97
-1-88
-1-97
-1-96
-1-97
64-97
96-97
-1-96
8-97
72-73
-1-110
-1-96
-1-100
-1-97
31-100
96-109
73-100
62-72
73-97
-1-8
61-72
-1-97
33-72
8-97
16-97
-1-96
-1-100
33-72
50-97
45-72
-1-97
32-100
-1-97
-1-97
88-97
-1-97
0-100
32-97
-1-97
32-97
-1-97
31-62
34-97
-1-96
31-96
-1-110
1-96
8-61
-1-97
-1-97
72-73
-1-97
-1-100
96-109
33-72
-1-96
33-72
-1-100
-1-96
34-96
-1-97
-1-100
-1-97
33-100
-1-97
-1-100
89-97
-1-97
96-97
-1-110
-1-97
8-100
96-97
33-97
45-72
0-72
96-97
72-73
-1-100
8-61
-1-100
8-61
-1-97
33-72
8-97
-1-97
88-97
96-97
50-72
96-109
50-97
-1-97
8-61
96-97
32-96
71-100
-1-16
-1-97
-1-97
33-72
32-100
-1-96
-1-97
61-72
-1-97
61-97
89-100
-1-96
-1-97
8-96
-1-100
1-97
-1-100
-1-97
50-100
26-72
-1-100
73-100
73-100
8-72
-1-88
0-72
-1-100
-1-96
-1-96
1-96
33-100
-1-96
-1-97
96-98
0-100
-1-97
33-88
-1-96
0-72
-1-97
73-97
31-96
-1-97
-1-96
73-96
71-72
-1-97
-1-15
-1-97
-1-97
8-97
-1-97
-1-96
-1-15
96-97
-1-97
-1-97
73-96
32-100
-1-100
73-100
-1-97
96-109
33-72
1-97
50-72
32-97
61-97
73-96
31-72
-1-8
-1-97
73-97
-1-100
61-100
1-97
-1-100
62-72
-1-96
-1-96
-1-97
0-72
-1-8
96-97
1-97
-1-97
-1-96
16-72
33-72
32-97
-1-96
-1-96
32-97
-1-100
72-91
-1-97
-1-100
32-97
1-96
-1-100
8-61
-1-97
-1-100
-1-97
-1-96
1-97
50-97
33-72
-1-101
-1-97
-1-97
-1-97
-1-100
64-72
-1--1
33-72
33-100
15-72
61-72
96-97
-1-96
8-72
10-72
-1-97
33-72
-1-100
96-97
8-97
72-88
-1-97
72-110
45-72
-1-97
-1-45
33-72
-1-97
33-72
88-100
-1-97
33-72
96-97
-1-8
0-72
50-96
-1-97
-1-96
61-100
14-97
17-72
14-97
-1-96
59-72
-1-97
-1-100
-1-100
32-97
72-88
-1-97
15-100
-1-97
32-100
61-100
15-72
-1-97
16-72
50-100
-1-97
1-97
73-100
32-96
-1-97
-1-96
-1-97
-1-72
-1-100
72-73
0-72
-1-97
61-100
72-73
32-100
-1-96
50-96
-1-97
96-97
-1-96
-1-96
31-100
45-72
-1-97
50-97
50-72
16-72
8-61
31-100
-1-96
-1-97
32-97
73-96
-1-97
32-97
14-72
-1-8
9-97
-1-97
96-109
-1-100
61-72
-1-97
71-97
61-100
-1-97
31-97
50-72
-1-97
33-72
-1-97
32-96
72-110
-1-97
-1-96
32-96
33-72
61-72
-1-100
-1-100
61-97
88-96
50-72
15-97
-1-96
33-72
96-109
0-72
-1-97
32-97
33-88
-1-45
14-97
96-109
-1-97
72-88
50-51
14-97
-1-97
50-100
71-72
-1-96
32-97
-1-97
12-97
72-110
-1-97
-1-96
95-100
73-96
33-72
32-97
-1-96
-1-100
96-97
72-88
72-112
-1-97
-1-97
-1-97
88-97
96-109
-1-8
34-97
-1-31
32-97
17-96
-1-100
96-97
96-97
-1-97
8-96
-1-97
-1-97
32-100
31-100
-1-100
-1-97
-1-100
31-97
-1-97
31-100
32-100
73-96
0-72
96-97
8-97
-1-96
72-84
31-72
-1-96
33-96
50-100
-1-96
14-97
100-101
-1-100
33-96
61-72
-1-100
72-88
-1-97
59-72
73-97
-1-100
-1-96
96-97
8-16
50-72
32-97
-1-45
96-109
31-72
-1-45
50-72
-1-97
72-88
-1-100
-1-97
-1-97
-1-100
96-97
-1-97
-1-96
-1-96
72-112
64-100
8-97
-1-97
-1-97
73-96
31-97
61-97
50-72
96-97
61-72
72-89
31-96
33-72
-1-97
32-97
73-97
88-97
8-15
50-72
96-97
-1-96
-1-97
-1-96
-1-97
50-97
95-97
96-97
32-97
-1-100
8-96
-1-15
100-101
-1-8
-1-84
-1-96
91-97
31-97
15-72
8-59
32-100
61-100
-1-96
72-110
-1-97
8-97
-1-97
72-73
32-96
33-72
96-97
33-72
34-72
31-96
73-97
32-96
32-100
-1-97
96-97
88-100
50-72
-1-97
-1-96
88-97
96-97
96-109
72-84
-1-97
-1-97
50-72
15-88
8-97
8-97
72-88
1-96
73-96
-1-97
89-96
48-100
-1-97
1-97
32-97
-1-100
-1-97
-1-97
-1-100
90-100
-1-96
15-72
0-72
-1-100
33-72
-1-100
73-97
-1-97
-1-100
32-97
8-24
31-97
26-97
73-100
-1-97
-1-96
96-97
-1-97
73-97
71-72
50-97
96-109
88-96
-1-100
-1-96
-1-97
31-97
73-96
96-109
-1-96
71-97
8-88
61-100
72-100
73-97
-1-100
96-97
31-97
8-97
64-72
15-97
-1-100
32-100
-1-97
96-97
-1-97
-1-100
-1-97
33-72
-1-97
45-72
-1-100
-1-97
72-110
-1-97
32-97
32-100
72-90
-1-96
8-97
73-80
-1-100
73-100
96-97
17-72
-1-97
96-109
-1-97
61-97
50-97
8-59
-1-97
15-72
