,0
19,-0.02566518997490261
21,0.5654528106247193
67,0.6923546636348519
117,0.16352699070046614
121,0.31133306253117843
124,0.5583485229119175
142,0.701537587628267
143,0.08264252018887762
152,0.6204756870466315
178,0.11538733915404463
187,0.6414294390453488
224,0.15267007518179027
237,-0.04959243575320302
240,0.12340754757681348
245,0.17073016852862233
264,0.035652447904186285
274,0.509817943740933
286,0.48199666308776806
291,0.25075488336678203
298,0.6609009638505295
368,-0.00758110785837882
386,-0.21160713097706405
397,0.6900276798664184
406,-0.05102814003009655
413,0.5116131251342103
436,-0.04359189650794174
452,0.7047252873158558
458,0.4905350396768657
460,0.5226089063075877
465,0.11907419169214498
530,0.4262851815500992
535,0.19420160793858218
537,0.17764854305299468
565,0.05748095161886053
629,-0.020813848359387613
681,0.6913681551475891
699,0.6956147074476745
711,0.20434591854740788
717,0.6793822145767912
720,0.6721394277267654
769,-0.0011174648579105584
770,-0.12957451643231915
774,0.6096433131694914
780,0.5238637045399013
796,-0.12748227022080819
804,0.3469463260381562
872,0.7132546027540709
887,0.57920749690641
890,0.5387854889608715
1005,0.5461267878045241
1009,0.06255783333927095
1016,0.010139472462023244
1018,0.6541350195013348
1027,0.19615972811556254
1037,0.5916742771215278
1076,-0.0025465271428474303
1111,0.10987816346216665
1115,0.16051972400724962
1137,0.17250681820918395
1149,-0.009511461436384728
1166,0.5880803976834381
1190,0.5751286982923558
1217,-0.04670878438278473
1228,0.43088994394381736
1245,0.6202904836961897
1284,0.12189566886600288
1295,0.6980540520976896
1306,0.15375320542226656
1326,0.7034377758900826
1340,0.7035924362455017
1386,-0.11002260134012375
1395,0.5966786069903979
1396,-0.0672988462317426
1431,0.6683361035824821
1432,0.7101147429040398
1439,-0.003092073056489431
1441,0.06643123330105144
1482,-0.054621011990517394
1487,0.7286717269412141
1517,0.6510318431469455
1522,0.17771193144469707
1526,0.04010785659313142
1529,0.13705059289341165
1531,0.70568000631404
1580,0.536113847415621
1581,0.16595129800916747
1586,0.64495741390797
1596,0.4892903824296709
1597,0.13715306233785862
1600,0.47712178015559165
1618,0.21025379637828018
1642,-0.10619331374576228
1644,0.10047597382491172
1654,0.5076423800297782
1660,-0.2150967661303001
1663,0.6199620194674993
1687,0.20705800629200377
1699,0.24317335412192664
1703,0.12273828476723256
1710,0.5803194650300505
1719,0.5637823314693493
1722,0.6611136071106136
1734,0.6672820855922776
1744,0.18520177637396287
1745,0.04165956073639176
1747,-0.18204521969035253
1768,0.536567101657516
1798,0.6831685776535934
1804,0.2503407744179932
1809,0.4156593280810899
1825,0.6846375920306975
1852,0.689261604852354
1857,0.6471798030490562
1887,-0.10027992273145808
1894,0.6192694618140799
1906,0.17052504422523748
1920,0.716637781092165
1934,0.448228389559526
1956,0.732456187038331
1957,-0.04739820401774204
1976,0.7096100368055516
2003,-0.08729922073613376
2011,-0.0705181528955935
2020,0.6508588161224772
2035,-0.06934313244156769
2039,0.04023161544360528
2041,0.08405840262735564
2052,0.6469005526488077
2076,0.5759305573792209
2101,-0.057224941107825965
2108,0.7162680631791599
2128,0.2957780442061078
2135,0.2944357970002282
2143,0.09402837599800981
2154,-0.009760129761835214
2197,0.5098826493952568
2232,0.6307132706641946
2237,0.7069603496742526
2244,0.506077585720015
2257,0.6396213612887784
2315,0.6920146312563711
2316,-0.07519698119464403
2326,0.16390635777056267
2334,0.2203814403434922
2354,0.6651606877389378
2358,0.0443070102143652
2381,0.7030470177748688
2396,-0.16955588941580754
2441,0.5752968425085558
2443,0.15404975150629702
2463,0.5399384094130616
2495,0.026572448410755595
2511,0.18183467125527492
2532,0.7161475490346846
2567,0.547711437939879
2579,0.7083301252763172
2592,0.7046709935165808
2607,-0.06960500457371983
2649,-0.2661378141898438
2656,0.583779855948232
2664,-0.09356894226135551
2688,0.5583079671927234
2690,-0.240213775102444
2691,0.316000068961619
2731,-0.0001893185433001399
2732,0.7224187423283084
2738,0.1529861808542387
2744,0.2538325317311444
2745,0.6590718886404081
2753,0.550605791693661
2765,0.289312939843772
2788,0.664785888073056
2808,0.6935044707511758
2855,0.5539353384651118
2857,0.5568367131847125
2932,0.5354973592788692
2964,0.09264297400058068
2980,0.16741265256661322
2985,0.5699845885994408
2996,0.4943458282190771
3005,0.09423362642958343
3026,0.6907288826774303
3045,-0.05128280298782137
3058,-0.28587449435457274
3075,-0.07421781084764492
3076,0.5790927577813983
3120,-0.037578360234350475
3155,0.17961209858783156
3165,0.6243674780244183
3193,-0.3650947160369202
3201,0.30099849873944656
3226,0.690958983762105
3228,0.17140242855836124
3241,0.6402067638346383
3243,0.706955125621862
3259,0.07684161648840568
3293,0.696462783091456
3318,0.04408214210196874
3341,-0.36724438927000674
