,cluster
11387,6
11423,4
11451,2
11472,0
11493,2
11498,5
11501,0
11507,1
11533,0
11552,5
11557,2
11569,0
11597,0
11599,0
11640,2
11664,0
11665,0
11669,0
11703,3
11706,2
11718,2
11726,1
11734,2
11770,3
11776,0
11806,1
11840,0
11842,2
11971,0
11975,2
11980,2
12010,0
12034,4
12060,2
12075,2
12097,0
12098,3
12118,1
12119,2
12126,4
12137,3
12192,2
12279,2
12303,2
12309,0
12379,4
12394,2
12403,0
12405,5
12454,0
12497,0
12507,2
12515,0
12553,4
12566,1
12581,3
12598,3
12602,0
12605,4
12639,0
12663,3
12678,2
12687,4
12688,0
12749,2
12771,3
12801,0
12809,2
12828,5
12850,0
12888,2
12900,2
12912,4
12921,0
12933,2
12963,2
13008,3
13010,1
13013,2
13016,2
13018,2
13020,5
13042,0
13047,3
13055,0
13088,3
13101,2
13128,2
13199,0
13201,0
13226,2
13230,2
13246,4
13261,2
13262,0
13350,3
13357,2
13380,2
13388,2
13397,2
13410,5
13420,2
13455,1
13456,0
13467,3
13491,3
13494,2
13508,3
13514,0
13523,5
13530,0
13567,0
13572,0
13591,2
13612,3
13655,0
13696,2
13703,5
13729,3
13730,1
13797,5
13825,6
13853,2
13855,0
13864,2
13869,2
13875,0
13887,0
13898,6
13908,1
13940,5
13947,2
13952,0
13977,2
13984,2
13991,2
14002,2
14032,2
14083,4
14110,2
14114,4
14115,0
14175,2
14179,0
14185,2
14299,0
14347,0
14376,0
14391,3
14472,0
14523,2
14537,2
14592,1
14647,2
14677,2
14681,5
14686,1
14717,2
14721,3
14777,0
14807,2
14814,3
14818,3
14824,0
14827,4
14833,0
14871,6
14890,1
14893,3
14916,0
14926,1
14929,0
14937,0
14938,6
14962,4
14970,1
14977,0
14999,0
15008,3
15012,5
15015,2
15033,0
15054,0
15070,5
15075,0
15078,2
15080,3
15081,5
15085,0
15126,3
15127,0
15164,4
15184,2
15206,0
15233,2
15235,2
15257,2
15269,0
15292,2
15327,2
15337,2
15362,2
15373,0
15380,5
15453,0
15458,2
15499,2
15501,0
15511,0
15512,2
15523,2
15524,1
15532,1
15543,0
15593,5
15597,5
15600,0
15609,2
15614,2
15626,2
15664,0
15692,2
15738,3
15767,0
15787,2
15790,3
15796,0
15800,0
15802,0
15827,2
15865,2
15888,2
15889,0
15891,4
15906,2
15991,1
16004,3
16017,4
16018,0
16025,0
16046,2
16070,2
16081,2
16114,0
16123,1
16167,4
16185,1
16200,0
16203,2
16339,2
16342,0
16361,0
16393,2
16396,3
16404,6
16412,0
16439,1
16476,0
16507,2
16513,0
16547,3
16580,4
16640,0
16645,5
16655,5
16656,0
16667,5
16668,1
16672,2
16677,3
16684,2
16723,0
16738,3
16745,2
16764,0
16809,2
16813,2
16820,0
16864,0
16870,2
16890,0
16905,0
16932,6
16948,0
16958,0
16979,6
17014,5
17036,2
17056,2
17089,2
17097,3
17165,2
17209,3
17213,6
17273,2
17308,0
17355,2
17395,2
17434,2
17468,0
17471,0
17473,3
17475,1
17502,3
17529,0
17540,2
17544,3
17582,5
17651,0
17664,2
17681,2
17690,6
17695,2
17706,2
17707,0
17737,0
17758,2
17773,0
17777,2
17779,0
17812,5
17814,3
17845,2
17920,5
17952,2
17958,0
17969,2
17970,1
17976,3
17995,0
17999,5
18034,3
18049,2
18083,5
18089,3
18099,1
18111,0
18127,1
18140,2
18148,0
18154,3
18157,5
18166,0
18171,2
18178,5
18208,2
18212,5
18215,0
18244,2
18247,2
18266,0
18278,3
18292,0
18304,0
18325,3
18327,2
18351,1
18385,2
18404,2
18409,3
18415,0
18417,5
18422,5
18480,2
18515,2
18524,2
18544,3
18567,2
18570,3
18612,6
18620,2
18624,2
18625,2
18626,3
18628,0
18656,4
18658,3
18672,2
18708,3
18720,1
18725,2
18750,0
18755,0
18790,1
18794,2
18808,0
18829,0
18831,2
18850,2
18858,2
18859,2
18884,1
18895,0
18904,2
18937,3
18993,2
19026,2
19067,0
19087,5
19107,0
19140,2
19164,3
19176,2
19195,2
19208,5
19215,0
19220,3
19242,1
19248,1
19250,0
19263,3
19279,4
19291,2
19298,0
19303,1
19373,0
19405,0
19420,2
19505,5
19513,0
19571,3
19575,2
19597,2
19602,2
19607,2
19609,0
19646,2
19690,2
19713,0
19715,3
19726,2
19751,2
19785,5
19788,1
19791,1
19793,2
19794,2
19817,2
19818,0
19829,4
19911,0
19915,2
19964,2
19967,0
19991,2
20047,0
20050,2
20051,0
20063,0
20075,6
20080,0
20102,2
20110,0
20117,1
20125,4
20162,2
20185,2
20201,2
20204,2
20208,5
20210,1
20228,2
20241,0
20248,0
20258,2
20270,5
20284,1
20294,3
20303,1
20307,2
20321,2
20358,0
20391,2
20402,2
20416,2
20431,5
20434,3
20435,2
20442,3
20446,0
20450,2
20468,2
20485,0
20513,2
20522,5
20527,2
20540,2
20542,3
20554,2
20557,0
20607,0
20659,1
20755,0
20766,5
20786,2
20807,0
20833,2
20837,3
20844,0
20861,0
20895,5
20912,2
20923,5
20976,5
20992,2
20996,0
20998,0
21005,0
21035,3
21044,0
21047,2
21063,2
21066,0
21095,2
21096,2
21099,3
21111,0
21126,1
21140,1
21158,2
21192,0
21202,5
21223,2
21226,1
21231,2
21235,0
21261,1
21290,3
21304,3
21343,2
21346,0
21354,1
21358,0
21400,2
21422,2
21431,2
21447,2
21489,0
21503,2
21505,5
21507,0
21564,0
21584,2
21588,0
21596,2
21636,3
21654,2
21662,0
21678,3
21684,0
21730,2
21801,3
21803,5
21816,5
21842,3
21856,2
21870,0
21873,2
21892,4
21905,0
21917,2
21924,4
21930,6
21932,4
21962,0
21964,2
21978,1
22016,4
22036,2
22042,2
22081,2
22087,0
22162,0
22165,3
22174,2
22196,5
22231,0
22233,1
22235,1
22236,0
22249,5
22297,5
22321,3
22324,2
22326,2
22329,2
22341,2
22347,0
22393,0
22407,3
22423,0
22440,5
22449,2
22466,5
22472,3
22540,0
22551,0
22568,0
22571,0
22585,0
22592,0
22625,0
22683,0
22691,2
22705,2
22710,0
22763,0
22773,0
22779,0
22784,5
22801,2
22805,3
22815,2
22843,3
22848,4
22870,4
22875,2
22877,4
22886,0
22894,3
22901,2
22919,5
22959,0
22966,4
22986,1
23026,0
23030,5
23036,2
23053,0
23082,0
23088,0
23093,0
23105,0
23115,2
23151,0
23165,2
23183,1
23185,2
23186,4
23207,0
23229,5
23257,5
23260,0
23282,6
23298,4
23309,2
23320,0
23321,0
23378,0
23417,0
23438,1
23455,4
23472,2
23510,3
23531,2
23543,2
23545,5
23547,0
23550,2
23567,2
23574,3
23583,5
23602,0
23612,4
23641,0
23671,4
23681,2
23682,1
23694,2
23700,5
23707,6
23718,1
23721,2
23743,2
23745,0
23763,3
23767,0
23827,0
23833,5
23935,3
23961,2
23973,5
23990,2
24017,3
24040,2
24056,5
24058,0
24063,2
24074,2
24089,3
24166,2
24178,2
24179,2
24209,5
24218,4
24270,4
24275,0
24281,2
24289,1
24295,0
24298,1
24300,2
24327,6
24339,2
24345,0
24395,2
24400,0
24401,0
24406,1
24435,2
24453,0
24461,1
24483,4
24519,3
24562,1
24581,3
24582,2
24595,4
24598,5
24633,3
24650,0
24663,0
24672,0
24686,2
24708,0
24714,5
24748,3
24769,2
24798,1
24802,2
24812,0
24813,0
24826,4
24828,0
24873,3
24890,6
24916,2
24991,2
24993,2
25022,0
25027,1
25041,3
25042,2
25089,0
25097,3
25124,2
25139,2
25140,0
25145,0
25168,2
25179,2
25185,4
25188,0
25194,0
25231,2
25271,0
25294,0
25297,3
25301,0
25311,2
25334,0
25361,3
25382,2
25399,3
25421,1
25452,3
25481,2
25522,5
25549,0
25561,5
25593,2
25594,1
25603,0
25612,3
25614,4
25617,2
25682,3
25696,1
25732,2
25747,2
25763,0
25779,2
25782,3
25797,4
25810,2
25829,0
25839,4
25878,2
25880,2
25883,3
25900,2
25919,0
25934,3
25960,3
25963,5
25979,2
26007,3
26019,2
26038,2
26075,2
26082,3
26106,0
26181,0
26203,2
26226,3
26228,2
26231,2
26271,4
26280,0
26282,2
26299,2
26303,0
26322,5
26355,2
26361,2
26364,0
26375,0
26385,3
26422,0
26430,4
26449,0
26471,1
26473,0
26482,2
26493,2
26535,0
26546,0
26548,2
26564,3
26567,0
26599,5
26620,0
26628,2
26629,3
26644,6
26659,0
26662,0
26752,3
26762,3
26808,0
26820,3
26849,3
26871,2
26884,1
26898,5
26904,0
26910,1
26929,2
26946,1
26994,3
27013,2
27038,1
27046,2
27058,0
27063,2
27068,5
27082,0
27083,0
27097,1
27099,2
27110,3
27130,0
27192,2
27219,0
27248,3
27260,1
27264,0
27282,5
27327,0
27347,4
27362,0
27424,2
27438,0
27445,0
27509,3
27531,2
27538,1
27585,2
27589,0
27653,3
27704,1
27757,5
27781,5
27790,3
27829,5
27842,2
27883,5
27894,2
27931,2
27934,2
27962,2
27964,0
27975,6
27990,0
28032,0
28034,2
28058,1
28091,2
28099,2
28112,2
28126,3
28184,2
28188,0
28189,0
28205,2
28217,1
28255,2
28291,3
28301,0
28306,2
28313,2
28322,0
28337,2
28388,2
28411,2
28415,0
28423,2
28427,0
28437,2
28453,1
28455,0
28469,1
28476,3
28491,0
28521,2
28528,0
28545,0
28568,2
28578,3
28582,1
28620,2
28661,2
28735,3
28792,2
28821,2
28894,0
28906,2
28958,2
28971,3
28994,0
29000,0
29005,5
29072,2
29085,0
29106,0
29163,2
29280,1
29287,0
29311,2
29316,5
29338,0
29344,0
29349,0
29353,0
29369,2
29377,5
29379,2
29384,2
29386,6
29396,0
29402,3
29410,2
29414,4
29426,0
29432,3
29473,0
29481,2
29539,3
29542,3
29543,5
29591,3
29616,0
29657,2
29675,2
29688,0
29708,1
29730,2
29732,0
29789,2
29791,5
29796,2
29798,2
29838,2
29840,0
30007,0
30016,0
30024,2
30030,4
30038,5
30042,0
30056,2
30064,0
30073,2
30105,2
30108,5
30109,3
30117,0
30132,2
30133,5
30157,5
30167,3
30173,2
30196,2
30208,4
30223,2
30233,0
30268,5
30292,5
30380,0
30389,0
30393,2
30394,3
30413,1
30416,3
30427,4
30430,0
30463,6
30481,0
30531,2
30537,1
30552,0
30572,2
30626,0
30686,4
30687,0
30720,0
30757,0
30771,4
30841,2
30848,0
30857,0
30861,0
30870,0
30873,2
30880,2
30904,0
30909,1
30914,5
30921,0
30999,2
31055,4
31062,0
31064,0
31074,2
31079,2
31080,2
31090,2
31103,0
31106,1
31116,3
31118,0
