,cluster
11375,1
11387,3
11423,1
11451,1
11472,1
11493,1
11498,0
11501,1
11507,1
11533,0
11552,0
11557,1
11569,1
11597,2
11599,1
11640,1
11664,1
11665,1
11669,1
11703,1
11706,1
11718,1
11726,1
11734,1
11770,1
11776,1
11806,1
11840,0
11842,1
11971,1
11975,1
11980,1
12010,1
12034,0
12060,1
12075,1
12097,1
12098,1
12118,1
12119,1
12126,2
12137,1
12192,1
12279,1
12303,1
12309,-1
12379,1
12394,1
12403,0
12405,0
12454,1
12497,1
12507,1
12515,1
12553,1
12566,3
12581,0
12598,1
12602,0
12605,0
12639,1
12663,1
12678,1
12687,0
12688,0
12749,1
12771,0
12801,1
12809,1
12828,0
12850,1
12888,1
12900,1
12912,1
12921,1
12933,1
12963,1
13008,0
13010,1
13013,1
13016,1
13018,1
13020,0
13042,1
13047,1
13055,1
13088,1
13101,1
13128,1
13199,-1
13201,1
13226,1
13230,1
13246,1
13261,1
13262,1
13350,1
13357,1
13380,1
13388,1
13397,1
13410,0
13420,1
13455,1
13456,1
13467,1
13491,1
13494,1
13508,1
13514,1
13523,0
13530,1
13567,0
13572,1
13591,1
13612,1
13655,0
13696,1
13703,0
13729,0
13730,1
13797,0
13825,3
13853,1
13855,1
13864,1
13869,1
13875,1
13887,1
13898,3
13908,1
13940,-1
13947,1
13952,0
13977,1
13984,1
13991,1
14002,1
14032,1
14083,0
14110,1
14114,-1
14115,0
14175,1
14179,0
14185,1
14299,1
14347,1
14376,1
14391,1
14472,0
14523,1
14537,1
14592,1
14647,1
14677,1
14681,0
14686,1
14717,1
14721,1
14777,1
14807,1
14814,0
14818,-1
14824,1
14827,1
14833,0
14871,3
14890,1
14893,1
14916,0
14926,1
14929,1
14937,1
14938,3
14962,-1
14970,1
14977,0
14999,1
15008,1
15012,0
15015,1
15033,1
15054,1
15070,2
15075,1
15078,1
15080,1
15081,0
15085,1
15126,1
15127,0
15164,0
15184,1
15206,1
15233,1
15235,1
15257,1
15269,1
15292,1
15327,1
15337,1
15362,1
15373,1
15380,0
15453,1
15458,1
15499,1
15501,1
15511,1
15512,1
15523,1
15524,1
15532,1
15543,1
15593,0
15597,2
15600,1
15609,1
15614,1
15626,1
15664,1
15692,1
15738,1
15767,1
15787,1
15790,0
15796,0
15800,1
15802,1
15827,1
15865,1
15888,1
15889,1
15891,1
15906,1
15991,1
16004,1
16017,1
16018,0
16025,1
16046,1
16070,1
16081,1
16114,1
16123,1
16167,1
16185,1
16200,1
16203,1
16339,1
16342,1
16361,0
16393,1
16396,1
16404,3
16412,1
16439,1
16476,1
16507,1
16513,1
16547,1
16580,1
16640,1
16645,0
16655,0
16656,3
16667,0
16668,1
16672,1
16677,1
16684,1
16723,0
16738,1
16745,1
16764,1
16809,1
16813,1
16820,1
16864,1
16870,1
16890,1
16905,0
16932,3
16948,0
16958,1
16979,3
17014,0
17036,1
17056,1
17089,1
17097,1
17165,1
17209,0
17213,3
17273,1
17308,1
17355,1
17395,1
17434,1
17468,1
17471,1
17473,1
17475,1
17502,1
17529,1
17540,1
17544,1
17582,0
17651,1
17664,1
17681,1
17690,3
17695,1
17706,1
17707,1
17737,1
17758,1
17773,1
17777,1
17779,1
17812,0
17814,0
17845,1
17920,0
17952,1
17958,1
17969,1
17970,1
17976,1
17995,1
17999,0
18034,1
18049,1
18083,0
18089,1
18099,1
18111,1
18127,1
18140,1
18148,0
18154,1
18157,0
18166,0
18171,1
18178,0
18208,1
18212,0
18215,0
18244,1
18247,1
18266,3
18278,1
18292,1
18304,1
