,cluster
648,11387
649,11423
650,11451
651,11472
652,11493
653,11498
654,11501
655,11507
656,11533
657,11552
658,11557
659,11569
660,11597
661,11599
662,11640
663,11664
664,11665
665,11669
666,11703
667,11706
668,11718
669,11726
670,11734
671,11770
672,11776
673,11806
674,11840
675,11842
676,11971
677,11975
678,11980
679,12010
680,12034
681,12060
682,12075
683,12097
684,12098
685,12118
686,12119
687,12126
688,12137
689,12192
690,12279
691,12303
692,12309
693,12379
694,12394
695,12403
696,12405
697,12454
698,12497
699,12507
700,12515
701,12553
702,12566
703,12581
704,12598
705,12602
706,12605
707,12639
708,12663
709,12678
710,12687
711,12688
712,12749
713,12771
714,12801
715,12809
716,12828
717,12850
718,12888
719,12900
720,12912
721,12921
722,12933
723,12963
724,13008
725,13010
726,13013
727,13016
728,13018
729,13020
730,13042
731,13047
732,13055
733,13088
734,13101
735,13128
736,13199
737,13201
738,13226
739,13230
740,13246
741,13261
742,13262
743,13350
744,13357
745,13380
746,13388
747,13397
748,13410
749,13420
750,13455
751,13456
752,13467
753,13491
754,13494
755,13508
756,13514
757,13523
758,13530
759,13567
760,13572
761,13591
762,13612
763,13655
764,13696
765,13703
766,13729
767,13730
768,13797
769,13825
770,13853
771,13855
772,13864
773,13869
774,13875
775,13887
776,13898
777,13908
778,13940
779,13947
780,13952
781,13977
782,13984
783,13991
784,14002
785,14032
786,14083
787,14110
788,14114
789,14115
790,14175
791,14179
792,14185
793,14299
794,14347
795,14376
796,14391
797,14472
798,14523
799,14537
800,14592
801,14647
802,14677
803,14681
804,14686
805,14717
806,14721
807,14777
808,14807
809,14814
810,14818
811,14824
812,14827
813,14833
814,14871
815,14890
816,14893
817,14916
818,14926
819,14929
820,14937
821,14938
822,14962
823,14970
824,14977
825,14999
826,15008
827,15012
828,15015
829,15033
830,15054
831,15070
832,15075
833,15078
834,15080
835,15081
836,15085
837,15126
838,15127
839,15164
840,15184
841,15206
842,15233
843,15235
844,15257
845,15269
846,15292
847,15327
848,15337
849,15362
850,15373
851,15380
852,15453
853,15458
854,15499
855,15501
856,15511
857,15512
858,15523
859,15524
860,15532
861,15543
862,15593
863,15597
864,15600
865,15609
866,15614
867,15626
868,15664
869,15692
870,15738
871,15767
872,15787
873,15790
874,15796
875,15800
876,15802
877,15827
878,15865
879,15888
880,15889
881,15891
882,15906
883,15991
884,16004
885,16017
886,16018
887,16025
888,16046
889,16070
890,16081
891,16114
892,16123
893,16167
894,16185
895,16200
896,16203
897,16339
898,16342
899,16361
900,16393
901,16396
902,16404
903,16412
904,16439
905,16476
906,16507
907,16513
908,16547
909,16580
910,16640
911,16645
912,16655
913,16656
914,16667
915,16668
916,16672
917,16677
918,16684
919,16723
920,16738
921,16745
922,16764
923,16809
924,16813
925,16820
926,16864
927,16870
928,16890
929,16905
930,16932
931,16948
932,16958
933,16979
934,17014
935,17036
936,17056
937,17089
938,17097
939,17165
940,17209
941,17213
942,17273
943,17308
944,17355
945,17395
946,17434
947,17468
948,17471
949,17473
950,17475
951,17502
952,17529
953,17540
954,17544
955,17582
956,17651
957,17664
958,17681
959,17690
960,17695
961,17706
962,17707
963,17737
964,17758
965,17773
966,17777
967,17779
968,17812
969,17814
970,17845
971,17920
972,17952
973,17958
974,17969
975,17970
976,17976
977,17995
978,17999
979,18034
980,18049
981,18083
982,18089
983,18099
984,18111
985,18127
986,18140
987,18148
988,18154
989,18157
990,18166
991,18171
992,18178
993,18208
994,18212
995,18215
996,18244
997,18247
998,18266
999,18278
1000,18292
1001,18304
1002,18325
1003,18327
1004,18351
1005,18385
1006,18404
1007,18409
1008,18415
1009,18417
1010,18422
1011,18480
1012,18515
1013,18524
1014,18544
1015,18567
1016,18570
1017,18612
1018,18620
1019,18624
1020,18625
1021,18626
1022,18628
1023,18656
1024,18658
1025,18672
1026,18708
1027,18720
1028,18725
1029,18750
1030,18755
1031,18790
1032,18794
1033,18808
1034,18829
1035,18831
1036,18850
1037,18858
1038,18859
