year,state,congressional_district,party,candidatevotes,totalvotes
1976,ILLINOIS,15,REPUBLICAN,102555,190231
1976,ILLINOIS,16,REPUBLICAN,114324,168328
1976,ILLINOIS,17,REPUBLICAN,113145,194365
1976,ILLINOIS,18,REPUBLICAN,108028,187130
1976,ILLINOIS,19,REPUBLICAN,132571,193539
1976,ILLINOIS,20,REPUBLICAN,137223,215857
1976,ILLINOIS,21,REPUBLICAN,137037,184035
1976,ILLINOIS,22,DEMOCRAT,129187,210289
1976,ILLINOIS,23,DEMOCRAT,128113,162938
1976,ILLINOIS,24,DEMOCRAT,152344,226110
1976,INDIANA,1,DEMOCRAT,121155,169911
1976,INDIANA,2,DEMOCRAT,117617,214845
1976,INDIANA,3,DEMOCRAT,101777,178871
1976,INDIANA,4,REPUBLICAN,107762,198183
1976,INDIANA,5,REPUBLICAN,127194,206001
1976,INDIANA,6,DEMOCRAT,105773,192627
1976,INDIANA,7,REPUBLICAN,130005,207360
1976,INDIANA,8,DEMOCRAT,109013,216026
1976,INDIANA,9,DEMOCRAT,136056,136056
1976,INDIANA,10,DEMOCRAT,114559,191449
1976,INDIANA,11,DEMOCRAT,115895,191859
1976,IOWA,1,REPUBLICAN,109694,211204
1976,IOWA,2,DEMOCRAT,102980,204550
1976,IOWA,3,REPUBLICAN,117957,208938
1976,IOWA,4,DEMOCRAT,145343,210356
1976,IOWA,5,DEMOCRAT,135600,209052
1976,IOWA,6,DEMOCRAT,133507,198002
1976,KANSAS,1,REPUBLICAN,142311,194772
1976,KANSAS,2,DEMOCRAT,88645,174861
1976,KANSAS,3,REPUBLICAN,123578,179865
1976,KANSAS,4,DEMOCRAT,90067,179168
1976,KANSAS,5,REPUBLICAN,109573,180625
1976,KENTUCKY,1,DEMOCRAT,118886,144985
1976,KENTUCKY,2,DEMOCRAT,79016,130920
1976,KENTUCKY,3,DEMOCRAT,80496,140744
1976,KENTUCKY,4,REPUBLICAN,97493,174502
1976,KENTUCKY,5,REPUBLICAN,100204,150473
1976,KENTUCKY,6,DEMOCRAT,90695,96493
1976,KENTUCKY,7,DEMOCRAT,110450,150831
1976,LOUISIANA,1,DEMOCRAT,61652,130558
1976,LOUISIANA,2,DEMOCRAT,85923,92827
1976,LOUISIANA,3,REPUBLICAN,109135,148863
1976,LOUISIANA,4,DEMOCRAT,76406,76406
1976,LOUISIANA,5,DEMOCRAT,83696,159270
1976,LOUISIANA,6,REPUBLICAN,99780,152992
1976,LOUISIANA,7,DEMOCRAT,117196,140610
1976,LOUISIANA,8,DEMOCRAT,106285,112811
1976,MAINE,1,REPUBLICAN,145523,253628
1976,MAINE,2,REPUBLICAN,169292,219547
1976,MARYLAND,1,REPUBLICAN,85919,158912
1976,MARYLAND,2,DEMOCRAT,139196,196303
1976,MARYLAND,3,DEMOCRAT,107014,143461
1976,MARYLAND,4,REPUBLICAN,95158,165013
1976,MARYLAND,5,DEMOCRAT,77836,134893
1976,MARYLAND,6,DEMOCRAT,126801,179004
1976,MARYLAND,7,DEMOCRAT,94991,100633
1976,MARYLAND,8,REPUBLICAN,111274,237652
1976,MASSACHUSETTS,1,REPUBLICAN,137652,215870
1976,MASSACHUSETTS,2,DEMOCRAT,134408,185755
1976,MASSACHUSETTS,3,DEMOCRAT,168520,168568
1976,MASSACHUSETTS,4,DEMOCRAT,109268,209835
1976,MASSACHUSETTS,5,DEMOCRAT,144217,214263
1976,MASSACHUSETTS,6,DEMOCRAT,121562,221813
1976,MASSACHUSETTS,7,DEMOCRAT,162126,210809
1976,MASSACHUSETTS,8,DEMOCRAT,133131,178850
1976,MASSACHUSETTS,9,DEMOCRAT,103901,149371
1976,MASSACHUSETTS,10,REPUBLICAN,176604,176691
1976,MASSACHUSETTS,11,DEMOCRAT,131789,191055
1976,MASSACHUSETTS,12,DEMOCRAT,222418,222504
1976,MICHIGAN,1,DEMOCRAT,126161,136582
1976,MICHIGAN,2,REPUBLICAN,95397,191738
1976,MICHIGAN,3,REPUBLICAN,99231,196158
1976,MICHIGAN,4,REPUBLICAN,107881,179737
1976,MICHIGAN,5,REPUBLICAN,109589,205438
1976,MICHIGAN,6,DEMOCRAT,108909,206504
1976,MICHIGAN,7,DEMOCRAT,124260,177582
1976,MICHIGAN,8,DEMOCRAT,110127,186632
1976,MICHIGAN,9,REPUBLICAN,146712,209701
1976,MICHIGAN,10,REPUBLICAN,118726,210184
1976,MICHIGAN,11,REPUBLICAN,118871,217115
1976,MICHIGAN,12,DEMOCRAT,94815,180867
1976,MICHIGAN,13,DEMOCRAT,83387,93687
1976,MICHIGAN,14,DEMOCRAT,107503,161666
1976,MICHIGAN,15,DEMOCRAT,117313,158550
1976,MICHIGAN,16,DEMOCRAT,121682,160344
1976,MICHIGAN,17,DEMOCRAT,112746,175573
1976,MICHIGAN,18,DEMOCRAT,123113,186195
1976,MICHIGAN,19,REPUBLICAN,131799,197645
1976,MINNESOTA,1,REPUBLICAN,158177,231773
1976,MINNESOTA,2,REPUBLICAN,148322,245810
1976,MINNESOTA,3,REPUBLICAN,149013,225459
1976,MINNESOTA,4,DEMOCRAT,133282,200599
1976,MINNESOTA,5,DEMOCRAT,138213,195596
1976,MINNESOTA,6,DEMOCRAT,147507,246708
1976,MINNESOTA,7,DEMOCRAT,174080,241627
1976,MINNESOTA,8,DEMOCRAT,206755,206755
1976,MISSISSIPPI,1,DEMOCRAT,93687,93687
1976,MISSISSIPPI,2,DEMOCRAT,75092,119173
1976,MISSISSIPPI,3,DEMOCRAT,129088,137409
1976,MISSISSIPPI,4,REPUBLICAN,101132,132991
1976,MISSISSIPPI,5,REPUBLICAN,104554,153278
1976,MISSOURI,1,DEMOCRAT,87310,133184
1976,MISSOURI,2,DEMOCRAT,111568,218379
1976,MISSOURI,3,DEMOCRAT,115109,180732
1976,MISSOURI,4,DEMOCRAT,115955,207560
1976,MISSOURI,5,DEMOCRAT,100876,148302
1976,MISSOURI,6,REPUBLICAN,120969,206661
1976,MISSOURI,7,REPUBLICAN,133656,215504
1976,MISSOURI,8,DEMOCRAT,132386,196647
1976,MISSOURI,9,DEMOCRAT,120325,215141
1976,MISSOURI,10,DEMOCRAT,131675,182699
1976,MONTANA,1,DEMOCRAT,111487,167784
1976,MONTANA,2,REPUBLICAN,84149,153121
1976,NEBRASKA,1,REPUBLICAN,146558,200268
1976,NEBRASKA,2,DEMOCRAT,106296,194775
1976,NEBRASKA,3,REPUBLICAN,150720,206765
1976,NEVADA,0,DEMOCRAT,153996,199863
1976,NEW HAMPSHIRE,1,DEMOCRAT,107806,158242
1976,NEW HAMPSHIRE,2,REPUBLICAN,100911,166703
1976,NEW JERSEY,1,DEMOCRAT,136624,194898
1976,NEW JERSEY,2,DEMOCRAT,141753,229668
1976,NEW JERSEY,3,DEMOCRAT,127164,204739
1976,NEW JERSEY,4,DEMOCRAT,113281,170868
1976,NEW JERSEY,5,REPUBLICAN,137803,206106
1976,NEW JERSEY,6,REPUBLICAN,125920,214304
1976,NEW JERSEY,7,DEMOCRAT,120526,213150
1976,NEW JERSEY,8,DEMOCRAT,108841,154196
1976,NEW JERSEY,9,REPUBLICAN,107454,202344
1976,NEW JERSEY,10,DEMOCRAT,88245,106775
1976,NEW JERSEY,11,DEMOCRAT,129026,190808
