,DecisionTreeClassifier,RandomForestClassifier,SupportVectorMachineClassifier,ExtremeGradientBoostingClassifier,NeuralNetworkClassifier
mean faithfulness,0.18275560531270973,0.2444452773490361,0.09206812988241037,0.2048953493729271,0.01747163769385642
std faithfulness,0.1673453811569667,0.13952416629938727,0.11073115767869503,0.15945767226357743,0.08077055705021755
