,DecisionTreeClassifier,RandomForestClassifier,SupportVectorMachineClassifier,ExtremeGradientBoostingClassifier,NeuralNetworkClassifier
mean faithfulness,0.0690557174664195,0.0690557174664195,0.0690557174664195,0.0690557174664195,0.0690557174664195
std faithfulness,0.6681562649418487,0.6681562649418487,0.6681562649418487,0.6681562649418487,0.6681562649418487
