state,county,city,5,15,25,35,45,55,65,75,85,95,tot_points,min,max,avg,centroid_lat,centroid_lon
ALABAMA,Autauga County,Autaugaville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,32.4327,-86.6536
ALABAMA,Baldwin County,Bay Minette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.4501,-86.8976
ALABAMA,Baldwin County,Daphne,183.75718945237153,274.98207961835476,366.206969784338,367.5836829267549,368.9603960691718,370.93680144868347,373.51289906529,376.0889966818965,698.053219689021,1020.0174426961452,5,138.1447443693799,1180.999554199707,486.21780353514043,33.96286,-88.26376
ALABAMA,Baldwin County,Elberta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,30.4143,-87.5869
ALABAMA,Baldwin County,Foley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.5372,-86.7723
ALABAMA,Baldwin County,Gulf Shores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.4692,-86.8896
ALABAMA,Blount County,Hayden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.6583,-86.734
ALABAMA,Butler County,Greenville,0.4931664721407243,0.49316734914380594,0.49316822614688755,0.4931691031499692,0.4931699801530508,0.49317085715613246,0.49317173415921406,0.4931726111622957,0.4931734881653773,0.493174365168459,2,0.4931660336391835,0.4931748036699998,0.49317041865459166,31.8344,-86.61245
ALABAMA,Calhoun County,Anniston,605.2748633130348,605.3684151582866,605.4619670035381,605.5555188487899,605.6490706940416,662.608087888885,776.4325704333203,890.2570529777556,1004.081535522191,1117.906018066626,3,605.228087390409,1174.8182593388437,795.2473977819733,35.45916666666667,-92.08423333333333
ALABAMA,Calhoun County,Weaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,32.8507,-87.9022
ALABAMA,Chambers County,Lanett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,32.8708,-85.201
ALABAMA,Coffee County,Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31.3206,-85.8457
ALABAMA,Coffee County,New Brockton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31.4022,-86.0136
ALABAMA,Dale County,Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31.3416,-85.7629
ALABAMA,Dale County,Ozark,1.3970662340320699,1.397068356820524,1.3970704796089781,1.3970726023974323,1.3970747251858864,1.3970768479743405,1.3970789707627946,1.3970810935512485,1.397083216339703,1.397085339128157,2,1.3970651726378427,1.397086400522384,1.3970757865801133,31.44845,-85.6466
ALABAMA,Dallas County,Selma,51.04823010831292,90.29603414428013,129.54383818024732,168.79164221621454,208.0394462521817,228.88209637951397,231.31959259821127,233.75708881690855,236.19458503560588,238.6320812543032,3,31.424328090329325,239.85082936365183,166.31283524138215,32.60743333333334,-87.26636666666667
ALABAMA,DeKalb County,Fort Payne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,30.5396,-88.1752
ALABAMA,DeKalb County,Shiloh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,34.8239,-85.6164
ALABAMA,Etowah County,Gadsden,24.06166396142742,28.347023330352634,32.63238269927785,36.57173102436264,38.781024130245314,40.99031723612799,43.19961034201067,49.133877170705865,55.81313874396357,62.49240031722127,4,21.918984276964814,65.83203110385011,41.88058918679706,33.848150000000004,-86.398725
ALABAMA,Etowah County,Rainbow City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.96,-86.0444
ALABAMA,Geneva County,Hartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,37.0963,-76.4376
ALABAMA,Houston County,Dothan,306.6388159470217,314.974165219162,319.37949431861864,319.85480324539174,408.14463522649737,584.2489902619357,708.5650969211325,781.0929552040881,941.551841909594,1189.9417570376504,6,302.47114131095157,1314.1367146016785,624.2500342669769,32.35883333333333,-93.93083333333334
ALABAMA,Jackson County,Scottsboro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31.2133,-85.3839
ALABAMA,Jefferson County,Bessemer,516.2537388738924,516.6577183094248,517.0616977449573,517.4204680745559,517.5531928744853,517.6859176744146,517.818642474344,758.3621074880966,1046.9877205446141,1335.6133336011314,4,516.0517491561262,1479.92614012939,757.804249958604,35.783225,-91.80035
ALABAMA,Jefferson County,Birmingham,53.60627309863842,54.904368878416705,56.19056895645217,57.663788683227615,59.917290719262,62.604353975168294,87.65335490118255,159.49950815272297,300.7592821201531,723.8543767231808,50,46.12154651086213,1005.9171950814476,165.45658060361112,33.088028,-86.494852
ALABAMA,Jefferson County,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,30.6769,-88.0727
