state_code,state,congressional_district,year,male_child,male_teen,male_adult,female_child,female_teen,female_adult,Females under 5 years,Females 5 to 9 years,Females 10 to 14 years,Females 15 to 17 years,Females 18 and 19 years,Females 20 years,Females 21 years,Females 22 to 24 years,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females 65 and 66 years,Females 67 to 69 years,Females 70 to 74 years,Females 75 to 79 years,Females 80 to 84 years,Females 85 years and over,Males under 5 years,Males 5 to 9 years,Males 10 to 14 years,Males 15 to 17 years,Males 18 and 19 years,Males 20 years,Males 21 years,Males 22 to 24 years,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males 65 and 66 years,Males 67 to 69 years,Males 70 to 74 years,Males 75 to 79 years,Males 80 to 84 years,Males 85 years and over
04,Arizona,07,2013,81843.0,50602.0,233203.0,76542.0,48033.0,228751.0,31621,32961,29900,18267,11826,6437,6357,17434,28402,26080,25363,24919,20874,19323,15799,5026,7019,3764,4479,6274,4354,3481,3366,35711,33694,31096,18483,13462,7271,6377,18090,30767,29018,25792,25696,22295,18997,15627,5492,7414,3670,4081,5199,3386,2367,1664
04,Arizona,08,2013,59472.0,39860.0,250845.0,58235.0,36294.0,280261.0,23169,25015,25129,13749,7468,3710,3688,11412,21859,23312,23228,24665,22991,23763,22729,9434,13682,9175,12531,17385,14574,11095,11028,21900,26684,27220,15356,8172,4313,3615,10806,20254,22358,22788,22870,23621,21965,19419,7158,11776,7170,10156,14719,12501,8728,6628
04,Arizona,09,2013,55643.0,39107.0,268678.0,53091.0,37744.0,269180.0,23929,20922,20602,13245,12138,7096,8254,20520,32184,26467,22280,23557,25048,24180,21942,8270,9465,5214,6772,8818,6676,5970,6467,25655,21595,20984,14114,12403,8045,7434,22749,35807,28802,24368,25295,24491,24198,20595,7317,9072,4601,6150,7326,5148,3490,3790
05,Arkansas,01,2013,58957.0,40355.0,260502.0,55265.0,38225.0,274509.0,22481,22958,24566,14530,8956,4970,4325,12782,21929,21702,21971,22161,25142,25566,24269,9685,13847,8414,11012,15783,12244,9097,9610,24102,24821,25085,15400,9904,4483,4983,13605,23133,22702,22507,22836,24504,25360,22639,9445,12550,8234,9515,13539,9651,6538,4278
05,Arkansas,02,2013,60868.0,39234.0,258549.0,58727.0,37688.0,283340.0,24446,24992,23223,13955,9800,5610,5422,16945,27529,25776,23773,24514,25456,26463,25395,8109,12817,7710,8988,12977,9678,8293,7885,25467,25586,24538,14519,9993,6264,5768,15620,26439,25202,23560,23071,24098,24589,22858,7849,11059,6787,8327,10590,7726,4970,3772
05,Arkansas,03,2013,65599.0,42854.0,258001.0,63148.0,40820.0,270214.0,25953,27266,24824,14361,11565,6409,6488,14560,25787,24898,23064,24690,24430,24031,22204,8414,12007,6955,9041,12585,9431,7862,7358,27090,28167,25856,15094,12247,6380,6597,15842,26011,25762,23933,24859,24407,23375,20872,7563,10623,6144,8217,10538,7788,4694,4396
05,Arkansas,04,2013,57141.0,40706.0,257093.0,54435.0,38942.0,278190.0,22555,22488,23482,14758,10095,5914,4786,12268,20833,20952,21185,22901,25853,26400,25355,10022,13831,8538,11341,16103,12390,9765,9753,23263,23968,24776,15394,10447,5644,5292,12887,20583,20400,19944,21572,24727,25503,25386,9536,12414,7660,10173,14356,10121,6185,4710
06,California,01,2013,48231.0,38110.0,267654.0,45262.0,34865.0,269337.0,18084,19027,20378,13061,9578,4751,5402,14371,18782,17760,16529,19874,23117,27226,27977,10838,14965,9002,11349,15247,11224,9448,11475,19615,20022,21485,14669,10550,6236,5219,17525,22203,20162,19080,19922,23024,25195,27045,10037,14761,9221,10439,14096,10027,7735,5727
06,California,02,2013,48324.0,35054.0,267466.0,47054.0,32900.0,274281.0,18832,20230,19981,12524,8388,4367,3578,10500,18060,19729,20855,22657,25654,28892,29624,11981,15976,8688,11918,13330,10161,8738,9573,19561,20335,21070,13090,9322,5236,4474,11711,20654,21266,22120,23762,25603,27287,28439,10770,14650,8909,10058,12472,8428,6010,5617
06,California,03,2013,59135.0,43976.0,252656.0,55649.0,41191.0,254337.0,22196,24187,23166,15044,12248,7393,7220,17570,23238,21622,21677,22014,23458,23977,21102,8073,11255,6311,8418,9982,8160,6346,6521,24373,24828,24837,15790,13284,7752,5934,19792,25334,23650,21707,23213,24520,24169,20648,8362,10527,5815,6825,9224,6591,4816,3777
