year,state,congressional_district,party,candidatevotes,totalvotes,candidateperc
1978,OHIO,12,REPUBLICAN,81573,143271,56.9361559561949
1978,OHIO,13,DEMOCRAT,80875,124144,65.14612063410233
1978,OHIO,14,DEMOCRAT,82356,113667,72.4537464699517
1978,OHIO,15,REPUBLICAN,91023,128023,71.09894315865118
1978,OHIO,16,REPUBLICAN,105152,134792,78.01056442518843
1978,OHIO,17,REPUBLICAN,87010,129127,67.38327383118946
1978,OHIO,18,DEMOCRAT,71894,120825,59.50258638526795
1978,OHIO,19,REPUBLICAN,71890,141867,50.674223039889476
1978,OHIO,20,DEMOCRAT,76973,76973,100.0
1978,OHIO,21,DEMOCRAT,58934,68467,86.07650400923073
1978,OHIO,22,DEMOCRAT,87551,132572,66.0403403433606
1978,OHIO,23,DEMOCRAT,99975,133707,74.77170230429222
1978,OKLAHOMA,1,DEMOCRAT,73886,123290,59.928623570443676
1978,OKLAHOMA,2,DEMOCRAT,72583,132436,54.806095019481106
1978,OKLAHOMA,3,DEMOCRAT,151271,184565,81.96082680898328
1978,OKLAHOMA,4,DEMOCRAT,62993,104414,60.33003237113797
1978,OKLAHOMA,5,REPUBLICAN,71451,89429,79.89690145254895
1978,OKLAHOMA,6,DEMOCRAT,103512,139543,74.17928523824197
1978,OREGON,1,DEMOCRAT,158706,252378,62.88424506097996
1978,OREGON,2,DEMOCRAT,152099,220019,69.12993877801462
1978,OREGON,3,DEMOCRAT,151895,179460,84.64003120472529
1978,OREGON,4,DEMOCRAT,124745,221766,56.25073275434467
1978,PENNSYLVANIA,1,DEMOCRAT,104412,145162,71.92791501908214
1978,PENNSYLVANIA,2,DEMOCRAT,132594,161759,81.97009130867525
1978,PENNSYLVANIA,3,DEMOCRAT,86015,119765,71.81981380202897
1978,PENNSYLVANIA,4,REPUBLICAN,110445,198000,55.78030303030304
1978,PENNSYLVANIA,5,REPUBLICAN,110565,147269,75.0769000943851
1978,PENNSYLVANIA,6,DEMOCRAT,106431,144177,73.81967997669531
1978,PENNSYLVANIA,7,DEMOCRAT,79771,158714,50.26084655417922
1978,PENNSYLVANIA,8,DEMOCRAT,89276,146052,61.12617423931203
1978,PENNSYLVANIA,9,REPUBLICAN,101151,135033,74.9083557352647
1978,PENNSYLVANIA,10,REPUBLICAN,116003,151724,76.45659223326567
1978,PENNSYLVANIA,11,DEMOCRAT,61433,106768,57.538775663120035
1978,PENNSYLVANIA,12,DEMOCRAT,104216,151658,68.71777288372523
