year,state,majority_state_party,px_code
1980,MAINE,REPUBLICAN,ME
1980,MARYLAND,REPUBLICAN,MD
1980,MASSACHUSETTS,DEMOCRAT,MA
1980,MICHIGAN,DEMOCRAT,MI
1980,MINNESOTA,DEMOCRAT,MN
1980,MISSISSIPPI,DEMOCRAT,MS
1980,MISSOURI,DEMOCRAT,MO
1980,MONTANA,DEMOCRAT,MT
1980,NEBRASKA,REPUBLICAN,NE
1980,NEVADA,DEMOCRAT,NV
1980,NEW HAMPSHIRE,REPUBLICAN,NH
1980,NEW JERSEY,DEMOCRAT,NJ
1980,NEW MEXICO,REPUBLICAN,NM
1980,NEW YORK,DEMOCRAT,NY
1980,NORTH CAROLINA,DEMOCRAT,NC
1980,NORTH DAKOTA,DEMOCRAT,ND
1980,OHIO,DEMOCRAT,OH
1980,OKLAHOMA,REPUBLICAN,OK
1980,OREGON,DEMOCRAT,OR
1980,PENNSYLVANIA,REPUBLICAN,PA
1980,RHODE ISLAND,DEMOCRAT,RI
1980,SOUTH CAROLINA,DEMOCRAT,SC
1980,SOUTH DAKOTA,DEMOCRAT,SD
1980,TENNESSEE,REPUBLICAN,TN
1980,TEXAS,DEMOCRAT,TX
1980,UTAH,REPUBLICAN,UT
1980,VERMONT,REPUBLICAN,VT
1980,VIRGINIA,DEMOCRAT,VA
1980,WASHINGTON,REPUBLICAN,WA
1980,WEST VIRGINIA,DEMOCRAT,WV
1980,WISCONSIN,DEMOCRAT,WI
1980,WYOMING,REPUBLICAN,WY
1982,ALABAMA,DEMOCRAT,AL
1982,ALASKA,REPUBLICAN,AK
1982,ARIZONA,REPUBLICAN,AZ
1982,ARKANSAS,DEMOCRAT,AR
1982,CALIFORNIA,REPUBLICAN,CA
1982,COLORADO,REPUBLICAN,CO
1982,CONNECTICUT,DEMOCRAT,CT
1982,DELAWARE,DEMOCRAT,DE
1982,DISTRICT OF COLUMBIA,DEMOCRAT,
1982,FLORIDA,DEMOCRAT,FL
1982,GEORGIA,DEMOCRAT,GA
1982,HAWAII,DEMOCRAT,HI
1982,IDAHO,REPUBLICAN,ID
1982,ILLINOIS,DEMOCRAT,IL
1982,INDIANA,REPUBLICAN,IN
1982,IOWA,DEMOCRAT,IA
1982,KANSAS,DEMOCRAT,KS
1982,KENTUCKY,DEMOCRAT,KY
1982,LOUISIANA,REPUBLICAN,LA
1982,MAINE,REPUBLICAN,ME
1982,MARYLAND,DEMOCRAT,MD
1982,MASSACHUSETTS,REPUBLICAN,MA
1982,MICHIGAN,DEMOCRAT,MI
1982,MINNESOTA,DEMOCRAT,MN
1982,MISSISSIPPI,DEMOCRAT,MS
1982,MISSOURI,DEMOCRAT,MO
1982,MONTANA,DEMOCRAT,MT
1982,NEBRASKA,REPUBLICAN,NE
1982,NEVADA,DEMOCRAT,NV
1982,NEW HAMPSHIRE,REPUBLICAN,NH
1982,NEW JERSEY,DEMOCRAT,NJ
1982,NEW MEXICO,DEMOCRAT,NM
