,death
143141,0
44617,0
99113,0
129530,1
239203,0
23036,0
226796,1
45513,0
11588,0
78253,0
122222,1
211993,0
5062,1
8836,1
189270,1
50611,1
5344,0
52489,0
232289,1
30948,1
52417,0
160738,0
135491,0
219025,0
7006,0
1710,0
123645,1
151866,1
197225,0
114998,0
198780,1
104847,1
66232,0
21905,0
82696,1
135171,0
58779,0
4059,1
3129,1
209135,1
130638,0
126455,1
197644,1
222083,1
167042,0
142735,0
38724,1
65420,0
182544,0
29575,0
203152,1
118422,0
161675,0
123914,0
136039,0
2008,0
208677,0
2548,0
137560,0
140565,1
159050,0
145289,1
98137,0
42455,1
73598,0
29920,0
76286,1
59649,1
71250,1
40641,0
143552,0
136392,1
31718,0
125325,1
91214,0
2871,0
108917,0
195223,0
190953,0
235706,0
52359,0
194026,0
38103,0
102329,0
227195,0
158344,0
120909,0
78560,1
60947,0
204983,0
51121,0
76241,1
30427,1
46251,0
56706,0
234571,1
19851,0
101183,0
73831,0
95062,0
77206,0
87403,1
203721,0
174850,1
111651,1
166756,1
106936,0
226432,0
226252,1
57146,0
146828,1
91336,1
162783,0
52551,1
97614,0
137691,0
219294,1
39474,0
33729,0
153472,0
110476,0
19674,1
210400,0
22731,0
40838,1
78090,0
215229,1
237106,0
215219,1
30995,1
92074,0
117392,0
95853,1
49278,0
171197,0
45350,0
217869,0
56688,1
171914,1
11211,0
8053,0
195147,0
37509,0
41274,1
144202,0
126018,0
112414,0
35498,0
215811,0
47535,1
180145,1
176364,1
170317,0
72726,0
56263,0
200663,0
209367,1
159084,0
64060,0
141082,0
163324,0
15557,0
177508,0
156819,0
147983,0
15110,1
72448,1
81371,0
21900,0
122705,0
149152,0
208678,1
217848,1
39276,0
164975,1
238780,0
69517,0
23066,0
90306,0
78073,1
119337,0
229936,0
83337,1
85267,0
19290,1
175138,0
93201,0
108334,1
130063,1
208010,1
123003,0
74604,0
80,0
220762,1
95915,0
58689,0
236714,0
120568,0
233078,1
168669,0
48188,1
177914,1
129379,0
113066,1
37275,0
41507,0
70171,0
227459,0
194476,0
126898,0
14870,0
49844,0
7144,0
44609,1
153965,1
36765,0
193717,1
111511,0
23843,1
178756,0
59884,0
119280,0
57566,0
188331,1
6023,0
8866,0
227029,0
173656,0
49934,0
209079,0
95756,0
42623,0
167714,0
60647,0
207660,0
145571,0
48562,0
213689,0
172384,1
179240,1
165452,0
219764,0
74535,0
210270,0
73335,0
138001,1
