state,county,city,5,15,25,35,45,55,65,75,85,95,tot_points,min,max,avg,centroid_lat,centroid_lon
Alabama,Autauga County,Autaugaville,0.2742125909434185,0.28970656756751434,0.3052005441916102,0.32069452081570604,0.3361884974398019,0.37007224344023354,0.42234575881700104,0.4746192741937685,0.5268927895705361,0.5791663049473035,3,0.2664656026313706,0.6053030626356872,0.4052347170063026,32.432700000000004,-86.65643333333333
Alabama,Autauga County,Prattville,0.352776974540894,1.233816336613147,1.487383536795632,2.5951299970953374,2.7280483917099607,3.4985390960460343,3.8238700570298474,3.9128853980738745,4.881286582056112,6.568003943770198,27,0.3255717784661982,8.573536089439557,3.1359895232579382,32.465774074074076,-86.45694074074073
Alabama,Baldwin County,Bay Minette,0.6495895069285331,0.8519105605206518,0.8519105605206518,0.8584010494083255,0.9986520293792157,1.1411832009520828,1.2746647702919383,1.5079174492100451,2.5962922095317285,5.745649798058946,9,0.5147088045337873,7.663825730356807,1.9362339123879937,30.8709,-87.7877
Alabama,Baldwin County,Daphne,0.8818527264655991,1.5103697413871116,2.6818789804539516,2.7002935315214294,2.7467885132411953,3.0100003643706756,3.450318881195298,4.034984401442894,4.257821999572,5.261580655353802,10,0.8818527264655991,6.0594924876866365,3.0968900199006444,30.624720000000003,-87.88439
Alabama,Baldwin County,Elberta,0.32050250935982677,0.6411457221514545,0.961788934943082,1.2824321477347098,1.6030753605263375,1.7775873449388635,1.805968100972288,1.8343488570057125,1.862729613039137,1.8911103690725617,3,0.16018090296401294,1.905300747089274,1.276292872325146,30.41433333333333,-87.58856666666667
Alabama,Baldwin County,Fairhope,0.5344531095462741,0.8143775555075436,1.094302001468813,1.1381437070817602,1.1819854126947071,1.235282026036145,1.2980335471060735,1.360785068176002,1.675879134097401,1.9909732000187996,5,0.39449088656563946,2.148520232979499,1.2404008909382267,30.520640000000004,-87.88004000000001
Alabama,Baldwin County,Foley,1.0846338349976732,1.0846338349976732,1.2561759013717033,1.5992600341197638,1.8172569053565995,1.9101665150822105,2.1811454640530425,2.6301937522690952,3.3640393022129786,4.382682113884693,6,1.0846338349976732,4.892003519720549,2.2739020844219713,30.389366666666664,-87.69053333333333
Alabama,Baldwin County,Gulf Shores,1.07571164526165,1.4931668283106627,1.4931668283106627,1.7687729367936342,2.144506181853547,2.3259524104154536,2.8148806818069807,3.284559686012187,3.568644279165656,4.242074456259461,8,0.8509280851583355,4.593764374957915,2.459190205946143,30.2793375,-87.6960125
Alabama,Baldwin County,Loxley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,30.67,-87.7587
Alabama,Baldwin County,Orange Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,30.2934,-87.5898
Alabama,Baldwin County,Robertsdale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,30.5529,-87.7173
Alabama,Baldwin County,Spanish Fort,4.6434438085437195,4.643459966661361,4.643476124779003,4.643492282896645,4.643508441014286,4.643524599131928,4.6435407572495695,4.643556915367212,4.643573073484854,4.643589231602495,2,4.6434357294848985,4.643597310661316,4.643516520073107,30.6799,-87.92830000000001
Alabama,Baldwin County,Summerdale,1.4822708059078658,1.5018774155154557,1.5214840251230455,1.5410906347306355,1.5606972443382254,1.6037085967654463,1.6701246920122979,1.7365407872591496,1.8029568825060014,1.8693729777528532,3,1.4724675011040709,1.902581025376279,1.64851635854079,30.480500000000003,-87.7109
Alabama,Barbour County,Clayton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31.8781,-85.4406
Alabama,Barbour County,Clio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,31.666,-85.6129
Alabama,Barbour County,Eufaula,0.31873986990253345,0.5892318441421834,1.0919224525588571,1.4130809718333348,1.5758214380428008,1.727914184877477,1.884253071771549,1.9384808724414873,2.3012505984466323,3.985567751975346,16,0.26554185975676514,4.186540886018681,1.717771022348937,31.88783125,-85.1529125
Alabama,Barbour County,Louisville,1.226183871182559,1.2261852788874301,1.2261866865923015,1.2261880942971726,1.2261895020020437,1.226190909706915,1.2261923174117861,1.2261937251166573,1.2261951328215286,1.2261965405263997,2,1.2261831673301233,1.2261972443788354,1.2261902058544794,31.773,-85.5512
Alabama,Bibb County,Brent,0.7825087499546061,0.7825087606220693,0.7825087712895326,0.7825087819569957,0.7825087926244589,0.7825088032919222,0.7825088139593854,0.7825088246268486,0.7825088352943118,0.7825088459617751,2,0.7825087446208745,0.7825088512955066,0.7825087979581906,32.9497,-87.17994999999999
Alabama,Bibb County,Centreville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,32.9775,-87.1351
Alabama,Blount County,Blountsville,0.8912697227955021,0.8912697652223979,0.8912698076492938,0.8912698500761895,0.8912698925030853,0.8912699349299811,0.8912699773568769,0.8912700197837726,0.8912700622106685,0.8912701046375643,2,0.8912697015820542,0.8912701258510122,0.8912699137165332,34.075199999999995,-86.5873
Alabama,Blount County,Cleveland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.9929,-86.5835
Alabama,Blount County,Hayden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,33.9202,-86.7064
